Titulo,URL,Descripcion,limpieza,origenes
Big Hero 6,/title/tt2245084/,Animation Action Adventure             A special bond develops between plussized inflatable robot Baymax and prodigy Hiro Hamada who together team up with a group of friends to form a band of hightech heroes,animation action adventure special bond develops plussized inflatable robot baymax prodigy hiro hamada together team group friends form band hightech heroes,anim action adventur special bond develop plussiz inflat robot baymax prodigi hiro hamada togeth team group friend form band hightech hero
Spectre,/title/tt2379713/,Action Adventure Thriller             A cryptic message from James Bonds past sends him on a trail to uncover the existence of a sinister organisation named SPECTRE With a new threat dawning Bond learns the terrible truth about the author of all his pain in his most recent missions,action adventure thriller cryptic message james bonds past sends trail uncover existence sinister organisation named spectre new threat dawning bond learns terrible truth author pain recent missions,action adventur thriller cryptic messag jame bond past send trail uncov exist sinist organis name spectr new threat dawn bond learn terribl truth author pain recent mission
Vice,/title/tt6266538/,Biography Comedy Drama             The story of Dick Cheney an unassuming bureaucratic Washington insider who quietly wielded immense power as Vice President to George W Bush reshaping the country and the globe in ways that are still felt today,biography comedy drama story dick cheney unassuming bureaucratic washington insider quietly wielded immense power vice president george w bush reshaping country globe ways still felt today,biographi comedi drama stori dick cheney unassum bureaucrat washington insid quiet wield immens power vice presid georg w bush reshap countri globe way still felt today
Dumb and Dumber,/title/tt0109686/,Comedy             After a woman leaves a briefcase at the airport terminal a dumb limo driver and his dumber friend set out on a hilarious crosscountry road trip to Aspen to return it,comedy woman leaves briefcase airport terminal dumb limo driver dumber friend set hilarious crosscountry road trip aspen return,comedi woman leav briefcas airport termin dumb limo driver dumber friend set hilari crosscountri road trip aspen return
The Karate Kid,/title/tt1155076/,Action Drama Family             Work causes a single mother to move to China with her young son in his new home the boy embraces kung fu taught to him by a master,action drama family work causes single mother move china young son new home boy embraces kung fu taught master,action drama famili work caus singl mother move china young son new home boy embrac kung fu taught master
The Fearway,/title/tt14992524/,Horror SciFi Thriller             A young couple travelling down the freeway seem to be unable to get off the road after being hunted by someone intent on keeping them on the road,horror scifi thriller young couple travelling freeway seem unable get road hunted someone intent keeping road,horror scifi thriller young coupl travel freeway seem unabl get road hunt someon intent keep road
Joy,/title/tt2446980/,Biography Drama             Joy is the story of the title character who rose to become founder and matriarch of a powerful family business dynasty,biography drama joy story title character rose become founder matriarch powerful family business dynasty,biographi drama joy stori titl charact rose becom founder matriarch power famili busi dynasti
There's Something About Mary,/title/tt0129387/,Comedy Romance             A man gets a chance to meet up with his dream girl from high school even though his date with her back then was a complete disaster,comedy romance man gets chance meet dream girl high school even though date back complete disaster,comedi romanc man get chanc meet dream girl high school even though date back complet disast
12 Years a Slave,/title/tt2024544/,Biography Drama History             In the antebellum United States Solomon Northup a free black man from upstate New York is abducted and sold into slavery,biography drama history antebellum united states solomon northup free black man upstate new york abducted sold slavery,biographi drama histori antebellum unit state solomon northup free black man upstat new york abduct sold slaveri
The Waterboy,/title/tt0120484/,Comedy Sport             A waterboy for a college football team discovers he has a unique tackling ability and becomes a member of the team,comedy sport waterboy college football team discovers unique tackling ability becomes member team,comedi sport waterboy colleg footbal team discov uniqu tackl abil becom member team
Tinker Tailor Soldier Spy,/title/tt1340800/,Drama Mystery Thriller             In the bleak days of the Cold War espionage veteran George Smiley is forced from semiretirement to uncover a Soviet Agent within MI6,drama mystery thriller bleak days cold war espionage veteran george smiley forced semiretirement uncover soviet agent within mi6,drama mysteri thriller bleak day cold war espionag veteran georg smiley forc semiretir uncov soviet agent within mi6
Pitch Perfect 3,/title/tt4765284/,Comedy Music             Following their win at the world championship the now separated Bellas reunite for one last singing competition at an overseas USO tour but face a group who uses both instruments and voices,comedy music following win world championship separated bellas reunite one last singing competition overseas uso tour face group uses instruments voices,comedi music follow win world championship separ bella reunit one last sing competit oversea uso tour face group use instrument voic
Straight Outta Compton,/title/tt1398426/,Biography Drama History             The rap group NWA emerges from the mean streets of Compton in Los Angeles California in the mid1980s and revolutionizes Hip Hop culture with their music and tales about life in the hood,biography drama history rap group nwa emerges mean streets compton los angeles california mid1980s revolutionizes hip hop culture music tales life hood,biographi drama histori rap group nwa emerg mean street compton los angel california mid1980 revolution hip hop cultur music tale life hood
The Proposal,/title/tt1041829/,Comedy Drama Romance             A pushy boss forces her young assistant to marry her in order to keep her visa status in the US and avoid deportation to Canada,comedy drama romance pushy boss forces young assistant marry order keep visa status us avoid deportation canada,comedi drama romanc pushi boss forc young assist marri order keep visa status us avoid deport canada
Collateral,/title/tt0369339/,Action Crime Drama             A cab driver finds himself the hostage of an engaging contract killer as he makes his rounds from hit to hit during one night in Los Angeles,action crime drama cab driver finds hostage engaging contract killer makes rounds hit hit one night los angeles,action crime drama cab driver find hostag engag contract killer make round hit hit one night los angel
Under the Silver Lake,/title/tt5691670/,Crime Drama Mystery             Sam a disenchanted young man finds a mysterious woman swimming in his apartments pool one night The next morning she disappears Sam sets off across LA to find her and along the way he uncovers a conspiracy far more bizarre,crime drama mystery sam disenchanted young man finds mysterious woman swimming apartments pool one night next morning disappears sam sets across la find along way uncovers conspiracy far bizarre,crime drama mysteri sam disench young man find mysteri woman swim apart pool one night next morn disappear sam set across la find along way uncov conspiraci far bizarr
Chicago,/title/tt0299658/,Comedy Crime Musical             Two deathrow murderesses develop a fierce rivalry while competing for publicity celebrity and a sleazy lawyers attention,comedy crime musical two deathrow murderesses develop fierce rivalry competing publicity celebrity sleazy lawyers attention,comedi crime music two deathrow murderess develop fierc rivalri compet public celebr sleazi lawyer attent
Deep Impact,/title/tt0120647/,Action Drama SciFi             A comet is discovered to be on a collision course with Earth As doomsday nears the human race prepares for the worst,action drama scifi comet discovered collision course earth doomsday nears human race prepares worst,action drama scifi comet discov collis cours earth doomsday near human race prepar worst
